"GEO_ID","id"
"NAME","Geographic Area Name"
"S1701_C01_001E","Total!!Estimate!!Population for whom poverty status is determined"
"S1701_C01_001M","Total!!Margin of Error!!Population for whom poverty status is determined"
"S1701_C01_002E","Total!!Estimate!!AGE!!Under 18 years"
"S1701_C01_002M","Total!!Margin of Error!!AGE!!Under 18 years"
"S1701_C01_003E","Total!!Estimate!!AGE!!Under 18 years!!Under 5 years"
"S1701_C01_003M","Total!!Margin of Error!!AGE!!Under 18 years!!Under 5 years"
"S1701_C01_004E","Total!!Estimate!!AGE!!Under 18 years!!5 to 17 years"
"S1701_C01_004M","Total!!Margin of Error!!AGE!!Under 18 years!!5 to 17 years"
"S1701_C01_005E","Total!!Estimate!!AGE!!Under 18 years!!Related children of householder under 18 years"
"S1701_C01_005M","Total!!Margin of Error!!AGE!!Under 18 years!!Related children of householder under 18 years"
"S1701_C01_006E","Total!!Estimate!!AGE!!18 to 64 years"
"S1701_C01_006M","Total!!Margin of Error!!AGE!!18 to 64 years"
"S1701_C01_007E","Total!!Estimate!!AGE!!18 to 64 years!!18 to 34 years"
"S1701_C01_007M","Total!!Margin of Error!!AGE!!18 to 64 years!!18 to 34 years"
"S1701_C01_008E","Total!!Estimate!!AGE!!18 to 64 years!!35 to 64 years"
"S1701_C01_008M","Total!!Margin of Error!!AGE!!18 to 64 years!!35 to 64 years"
"S1701_C01_009E","Total!!Estimate!!AGE!!60 years and over"
"S1701_C01_009M","Total!!Margin of Error!!AGE!!60 years and over"
"S1701_C01_010E","Total!!Estimate!!AGE!!65 years and over"
"S1701_C01_010M","Total!!Margin of Error!!AGE!!65 years and over"
"S1701_C01_011E","Total!!Estimate!!SEX!!Male"
"S1701_C01_011M","Total!!Margin of Error!!SEX!!Male"
"S1701_C01_012E","Total!!Estimate!!SEX!!Female"
"S1701_C01_012M","Total!!Margin of Error!!SEX!!Female"
"S1701_C01_013E","Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone"
"S1701_C01_013M","Total!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone"
"S1701_C01_014E","Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Black or African American alone"
"S1701_C01_014M","Total!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!Black or African American alone"
"S1701_C01_015E","Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!American Indian and Alaska Native alone"
"S1701_C01_015M","Total!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!American Indian and Alaska Native alone"
"S1701_C01_016E","Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Asian alone"
"S1701_C01_016M","Total!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!Asian alone"
"S1701_C01_017E","Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone"
"S1701_C01_017M","Total!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone"
"S1701_C01_018E","Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Some other race alone"
"S1701_C01_018M","Total!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!Some other race alone"
"S1701_C01_019E","Total!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races"
"S1701_C01_019M","Total!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races"
"S1701_C01_020E","Total!!Estimate!!Hispanic or Latino origin (of any race)"
"S1701_C01_020M","Total!!Margin of Error!!Hispanic or Latino origin (of any race)"
"S1701_C01_021E","Total!!Estimate!!White alone, not Hispanic or Latino"
"S1701_C01_021M","Total!!Margin of Error!!White alone, not Hispanic or Latino"
"S1701_C01_022E","Total!!Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over"
"S1701_C01_022M","Total!!Margin of Error!!EDUCATIONAL ATTAINMENT!!Population 25 years and over"
"S1701_C01_023E","Total!!Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Less than high school graduate"
"S1701_C01_023M","Total!!Margin of Error!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Less than high school graduate"
"S1701_C01_024E","Total!!Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!High school graduate (includes equivalency)"
"S1701_C01_024M","Total!!Margin of Error!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!High school graduate (includes equivalency)"
"S1701_C01_025E","Total!!Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Some college, associate's degree"
"S1701_C01_025M","Total!!Margin of Error!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Some college, associate's degree"
"S1701_C01_026E","Total!!Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree or higher"
"S1701_C01_026M","Total!!Margin of Error!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree or higher"
"S1701_C01_027E","Total!!Estimate!!EMPLOYMENT STATUS!!Civilian labor force 16 years and over"
"S1701_C01_027M","Total!!Margin of Error!!EMPLOYMENT STATUS!!Civilian labor force 16 years and over"
"S1701_C01_028E","Total!!Estimate!!EMPLOYMENT STATUS!!Civilian labor force 16 years and over!!Employed"
"S1701_C01_028M","Total!!Margin of Error!!EMPLOYMENT STATUS!!Civilian labor force 16 years and over!!Employed"
"S1701_C01_029E","Total!!Estimate!!EMPLOYMENT STATUS!!Civilian labor force 16 years and over!!Employed!!Male"
"S1701_C01_029M","Total!!Margin of Error!!EMPLOYMENT STATUS!!Civilian labor force 16 years and over!!Employed!!Male"
"S1701_C01_030E","Total!!Estimate!!EMPLOYMENT STATUS!!Civilian labor force 16 years and over!!Employed!!Female"
"S1701_C01_030M","Total!!Margin of Error!!EMPLOYMENT STATUS!!Civilian labor force 16 years and over!!Employed!!Female"
"S1701_C01_031E","Total!!Estimate!!EMPLOYMENT STATUS!!Civilian labor force 16 years and over!!Unemployed"
"S1701_C01_031M","Total!!Margin of Error!!EMPLOYMENT STATUS!!Civilian labor force 16 years and over!!Unemployed"
"S1701_C01_032E","Total!!Estimate!!EMPLOYMENT STATUS!!Civilian labor force 16 years and over!!Unemployed!!Male"
"S1701_C01_032M","Total!!Margin of Error!!EMPLOYMENT STATUS!!Civilian labor force 16 years and over!!Unemployed!!Male"
"S1701_C01_033E","Total!!Estimate!!EMPLOYMENT STATUS!!Civilian labor force 16 years and over!!Unemployed!!Female"
"S1701_C01_033M","Total!!Margin of Error!!EMPLOYMENT STATUS!!Civilian labor force 16 years and over!!Unemployed!!Female"
"S1701_C01_034E","Total!!Estimate!!WORK EXPERIENCE!!Population 16 years and over"
"S1701_C01_034M","Total!!Margin of Error!!WORK EXPERIENCE!!Population 16 years and over"
"S1701_C01_035E","Total!!Estimate!!WORK EXPERIENCE!!Population 16 years and over!!Worked full-time, year-round in the past 12 months"
"S1701_C01_035M","Total!!Margin of Error!!WORK EXPERIENCE!!Population 16 years and over!!Worked full-time, year-round in the past 12 months"
"S1701_C01_036E","Total!!Estimate!!WORK EXPERIENCE!!Population 16 years and over!!Worked part-time or part-year in the past 12 months"
"S1701_C01_036M","Total!!Margin of Error!!WORK EXPERIENCE!!Population 16 years and over!!Worked part-time or part-year in the past 12 months"
"S1701_C01_037E","Total!!Estimate!!WORK EXPERIENCE!!Population 16 years and over!!Did not work"
"S1701_C01_037M","Total!!Margin of Error!!WORK EXPERIENCE!!Population 16 years and over!!Did not work"
"S1701_C01_038E","Total!!Estimate!!ALL INDIVIDUALS WITH INCOME BELOW THE FOLLOWING POVERTY RATIOS!!50 percent of poverty level"
"S1701_C01_038M","Total!!Margin of Error!!ALL INDIVIDUALS WITH INCOME BELOW THE FOLLOWING POVERTY RATIOS!!50 percent of poverty level"
"S1701_C01_039E","Total!!Estimate!!ALL INDIVIDUALS WITH INCOME BELOW THE FOLLOWING POVERTY RATIOS!!125 percent of poverty level"
"S1701_C01_039M","Total!!Margin of Error!!ALL INDIVIDUALS WITH INCOME BELOW THE FOLLOWING POVERTY RATIOS!!125 percent of poverty level"
"S1701_C01_040E","Total!!Estimate!!ALL INDIVIDUALS WITH INCOME BELOW THE FOLLOWING POVERTY RATIOS!!150 percent of poverty level"
"S1701_C01_040M","Total!!Margin of Error!!ALL INDIVIDUALS WITH INCOME BELOW THE FOLLOWING POVERTY RATIOS!!150 percent of poverty level"
"S1701_C01_041E","Total!!Estimate!!ALL INDIVIDUALS WITH INCOME BELOW THE FOLLOWING POVERTY RATIOS!!185 percent of poverty level"
"S1701_C01_041M","Total!!Margin of Error!!ALL INDIVIDUALS WITH INCOME BELOW THE FOLLOWING POVERTY RATIOS!!185 percent of poverty level"
"S1701_C01_042E","Total!!Estimate!!ALL INDIVIDUALS WITH INCOME BELOW THE FOLLOWING POVERTY RATIOS!!200 percent of poverty level"
"S1701_C01_042M","Total!!Margin of Error!!ALL INDIVIDUALS WITH INCOME BELOW THE FOLLOWING POVERTY RATIOS!!200 percent of poverty level"
"S1701_C01_043E","Total!!Estimate!!ALL INDIVIDUALS WITH INCOME BELOW THE FOLLOWING POVERTY RATIOS!!300 percent of poverty level"
"S1701_C01_043M","Total!!Margin of Error!!ALL INDIVIDUALS WITH INCOME BELOW THE FOLLOWING POVERTY RATIOS!!300 percent of poverty level"
"S1701_C01_044E","Total!!Estimate!!ALL INDIVIDUALS WITH INCOME BELOW THE FOLLOWING POVERTY RATIOS!!400 percent of poverty level"
"S1701_C01_044M","Total!!Margin of Error!!ALL INDIVIDUALS WITH INCOME BELOW THE FOLLOWING POVERTY RATIOS!!400 percent of poverty level"
"S1701_C01_045E","Total!!Estimate!!ALL INDIVIDUALS WITH INCOME BELOW THE FOLLOWING POVERTY RATIOS!!500 percent of poverty level"
"S1701_C01_045M","Total!!Margin of Error!!ALL INDIVIDUALS WITH INCOME BELOW THE FOLLOWING POVERTY RATIOS!!500 percent of poverty level"
"S1701_C01_046E","Total!!Estimate!!UNRELATED INDIVIDUALS FOR WHOM POVERTY STATUS IS DETERMINED"
"S1701_C01_046M","Total!!Margin of Error!!UNRELATED INDIVIDUALS FOR WHOM POVERTY STATUS IS DETERMINED"
"S1701_C01_047E","Total!!Estimate!!UNRELATED INDIVIDUALS FOR WHOM POVERTY STATUS IS DETERMINED!!Male"
"S1701_C01_047M","Total!!Margin of Error!!UNRELATED INDIVIDUALS FOR WHOM POVERTY STATUS IS DETERMINED!!Male"
"S1701_C01_048E","Total!!Estimate!!UNRELATED INDIVIDUALS FOR WHOM POVERTY STATUS IS DETERMINED!!Female"
"S1701_C01_048M","Total!!Margin of Error!!UNRELATED INDIVIDUALS FOR WHOM POVERTY STATUS IS DETERMINED!!Female"
"S1701_C01_049E","Total!!Estimate!!15 years"
"S1701_C01_049M","Total!!Margin of Error!!15 years"
"S1701_C01_050E","Total!!Estimate!!16 to 17 years"
"S1701_C01_050M","Total!!Margin of Error!!16 to 17 years"
"S1701_C01_051E","Total!!Estimate!!18 to 24 years"
"S1701_C01_051M","Total!!Margin of Error!!18 to 24 years"
"S1701_C01_052E","Total!!Estimate!!25 to 34 years"
"S1701_C01_052M","Total!!Margin of Error!!25 to 34 years"
"S1701_C01_053E","Total!!Estimate!!35 to 44 years"
"S1701_C01_053M","Total!!Margin of Error!!35 to 44 years"
"S1701_C01_054E","Total!!Estimate!!45 to 54 years"
"S1701_C01_054M","Total!!Margin of Error!!45 to 54 years"
"S1701_C01_055E","Total!!Estimate!!55 to 64 years"
"S1701_C01_055M","Total!!Margin of Error!!55 to 64 years"
"S1701_C01_056E","Total!!Estimate!!65 to 74 years"
"S1701_C01_056M","Total!!Margin of Error!!65 to 74 years"
"S1701_C01_057E","Total!!Estimate!!75 years and over"
"S1701_C01_057M","Total!!Margin of Error!!75 years and over"
"S1701_C01_058E","Total!!Estimate!!Mean income deficit for unrelated individuals (dollars)"
"S1701_C01_058M","Total!!Margin of Error!!Mean income deficit for unrelated individuals (dollars)"
"S1701_C01_059E","Total!!Estimate!!Worked full-time, year-round in the past 12 months"
"S1701_C01_059M","Total!!Margin of Error!!Worked full-time, year-round in the past 12 months"
"S1701_C01_060E","Total!!Estimate!!Worked less than full-time, year-round in the past 12 months"
"S1701_C01_060M","Total!!Margin of Error!!Worked less than full-time, year-round in the past 12 months"
"S1701_C01_061E","Total!!Estimate!!Did not work"
"S1701_C01_061M","Total!!Margin of Error!!Did not work"
"S1701_C02_001E","Below poverty level!!Estimate!!Population for whom poverty status is determined"
"S1701_C02_001M","Below poverty level!!Margin of Error!!Population for whom poverty status is determined"
"S1701_C02_002E","Below poverty level!!Estimate!!AGE!!Under 18 years"
"S1701_C02_002M","Below poverty level!!Margin of Error!!AGE!!Under 18 years"
"S1701_C02_003E","Below poverty level!!Estimate!!AGE!!Under 18 years!!Under 5 years"
"S1701_C02_003M","Below poverty level!!Margin of Error!!AGE!!Under 18 years!!Under 5 years"
"S1701_C02_004E","Below poverty level!!Estimate!!AGE!!Under 18 years!!5 to 17 years"
"S1701_C02_004M","Below poverty level!!Margin of Error!!AGE!!Under 18 years!!5 to 17 years"
"S1701_C02_005E","Below poverty level!!Estimate!!AGE!!Under 18 years!!Related children of householder under 18 years"
"S1701_C02_005M","Below poverty level!!Margin of Error!!AGE!!Under 18 years!!Related children of householder under 18 years"
"S1701_C02_006E","Below poverty level!!Estimate!!AGE!!18 to 64 years"
"S1701_C02_006M","Below poverty level!!Margin of Error!!AGE!!18 to 64 years"
"S1701_C02_007E","Below poverty level!!Estimate!!AGE!!18 to 64 years!!18 to 34 years"
"S1701_C02_007M","Below poverty level!!Margin of Error!!AGE!!18 to 64 years!!18 to 34 years"
"S1701_C02_008E","Below poverty level!!Estimate!!AGE!!18 to 64 years!!35 to 64 years"
"S1701_C02_008M","Below poverty level!!Margin of Error!!AGE!!18 to 64 years!!35 to 64 years"
"S1701_C02_009E","Below poverty level!!Estimate!!AGE!!60 years and over"
"S1701_C02_009M","Below poverty level!!Margin of Error!!AGE!!60 years and over"
"S1701_C02_010E","Below poverty level!!Estimate!!AGE!!65 years and over"
"S1701_C02_010M","Below poverty level!!Margin of Error!!AGE!!65 years and over"
"S1701_C02_011E","Below poverty level!!Estimate!!SEX!!Male"
"S1701_C02_011M","Below poverty level!!Margin of Error!!SEX!!Male"
"S1701_C02_012E","Below poverty level!!Estimate!!SEX!!Female"
"S1701_C02_012M","Below poverty level!!Margin of Error!!SEX!!Female"
"S1701_C02_013E","Below poverty level!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone"
"S1701_C02_013M","Below poverty level!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone"
"S1701_C02_014E","Below poverty level!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Black or African American alone"
"S1701_C02_014M","Below poverty level!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!Black or African American alone"
"S1701_C02_015E","Below poverty level!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!American Indian and Alaska Native alone"
"S1701_C02_015M","Below poverty level!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!American Indian and Alaska Native alone"
"S1701_C02_016E","Below poverty level!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Asian alone"
"S1701_C02_016M","Below poverty level!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!Asian alone"
"S1701_C02_017E","Below poverty level!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone"
"S1701_C02_017M","Below poverty level!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone"
"S1701_C02_018E","Below poverty level!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Some other race alone"
"S1701_C02_018M","Below poverty level!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!Some other race alone"
"S1701_C02_019E","Below poverty level!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races"
"S1701_C02_019M","Below poverty level!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races"
"S1701_C02_020E","Below poverty level!!Estimate!!Hispanic or Latino origin (of any race)"
"S1701_C02_020M","Below poverty level!!Margin of Error!!Hispanic or Latino origin (of any race)"
"S1701_C02_021E","Below poverty level!!Estimate!!White alone, not Hispanic or Latino"
"S1701_C02_021M","Below poverty level!!Margin of Error!!White alone, not Hispanic or Latino"
"S1701_C02_022E","Below poverty level!!Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over"
"S1701_C02_022M","Below poverty level!!Margin of Error!!EDUCATIONAL ATTAINMENT!!Population 25 years and over"
"S1701_C02_023E","Below poverty level!!Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Less than high school graduate"
"S1701_C02_023M","Below poverty level!!Margin of Error!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Less than high school graduate"
"S1701_C02_024E","Below poverty level!!Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!High school graduate (includes equivalency)"
"S1701_C02_024M","Below poverty level!!Margin of Error!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!High school graduate (includes equivalency)"
"S1701_C02_025E","Below poverty level!!Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Some college, associate's degree"
"S1701_C02_025M","Below poverty level!!Margin of Error!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Some college, associate's degree"
"S1701_C02_026E","Below poverty level!!Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree or higher"
"S1701_C02_026M","Below poverty level!!Margin of Error!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree or higher"
"S1701_C02_027E","Below poverty level!!Estimate!!EMPLOYMENT STATUS!!Civilian labor force 16 years and over"
"S1701_C02_027M","Below poverty level!!Margin of Error!!EMPLOYMENT STATUS!!Civilian labor force 16 years and over"
"S1701_C02_028E","Below poverty level!!Estimate!!EMPLOYMENT STATUS!!Civilian labor force 16 years and over!!Employed"
"S1701_C02_028M","Below poverty level!!Margin of Error!!EMPLOYMENT STATUS!!Civilian labor force 16 years and over!!Employed"
"S1701_C02_029E","Below poverty level!!Estimate!!EMPLOYMENT STATUS!!Civilian labor force 16 years and over!!Employed!!Male"
"S1701_C02_029M","Below poverty level!!Margin of Error!!EMPLOYMENT STATUS!!Civilian labor force 16 years and over!!Employed!!Male"
"S1701_C02_030E","Below poverty level!!Estimate!!EMPLOYMENT STATUS!!Civilian labor force 16 years and over!!Employed!!Female"
"S1701_C02_030M","Below poverty level!!Margin of Error!!EMPLOYMENT STATUS!!Civilian labor force 16 years and over!!Employed!!Female"
"S1701_C02_031E","Below poverty level!!Estimate!!EMPLOYMENT STATUS!!Civilian labor force 16 years and over!!Unemployed"
"S1701_C02_031M","Below poverty level!!Margin of Error!!EMPLOYMENT STATUS!!Civilian labor force 16 years and over!!Unemployed"
"S1701_C02_032E","Below poverty level!!Estimate!!EMPLOYMENT STATUS!!Civilian labor force 16 years and over!!Unemployed!!Male"
"S1701_C02_032M","Below poverty level!!Margin of Error!!EMPLOYMENT STATUS!!Civilian labor force 16 years and over!!Unemployed!!Male"
"S1701_C02_033E","Below poverty level!!Estimate!!EMPLOYMENT STATUS!!Civilian labor force 16 years and over!!Unemployed!!Female"
"S1701_C02_033M","Below poverty level!!Margin of Error!!EMPLOYMENT STATUS!!Civilian labor force 16 years and over!!Unemployed!!Female"
"S1701_C02_034E","Below poverty level!!Estimate!!WORK EXPERIENCE!!Population 16 years and over"
"S1701_C02_034M","Below poverty level!!Margin of Error!!WORK EXPERIENCE!!Population 16 years and over"
"S1701_C02_035E","Below poverty level!!Estimate!!WORK EXPERIENCE!!Population 16 years and over!!Worked full-time, year-round in the past 12 months"
"S1701_C02_035M","Below poverty level!!Margin of Error!!WORK EXPERIENCE!!Population 16 years and over!!Worked full-time, year-round in the past 12 months"
"S1701_C02_036E","Below poverty level!!Estimate!!WORK EXPERIENCE!!Population 16 years and over!!Worked part-time or part-year in the past 12 months"
"S1701_C02_036M","Below poverty level!!Margin of Error!!WORK EXPERIENCE!!Population 16 years and over!!Worked part-time or part-year in the past 12 months"
