"GEO_ID","id"
"S1701_C02_037E","Below poverty level!!Estimate!!WORK EXPERIENCE!!Population 16 years and over!!Did not work"
"S1701_C02_037M","Below poverty level!!Margin of Error!!WORK EXPERIENCE!!Population 16 years and over!!Did not work"
"S1701_C02_038E","Below poverty level!!Estimate!!ALL INDIVIDUALS WITH INCOME BELOW THE FOLLOWING POVERTY RATIOS!!50 percent of poverty level"
"S1701_C02_038M","Below poverty level!!Margin of Error!!ALL INDIVIDUALS WITH INCOME BELOW THE FOLLOWING POVERTY RATIOS!!50 percent of poverty level"
"S1701_C02_039E","Below poverty level!!Estimate!!ALL INDIVIDUALS WITH INCOME BELOW THE FOLLOWING POVERTY RATIOS!!125 percent of poverty level"
"S1701_C02_039M","Below poverty level!!Margin of Error!!ALL INDIVIDUALS WITH INCOME BELOW THE FOLLOWING POVERTY RATIOS!!125 percent of poverty level"
"S1701_C02_040E","Below poverty level!!Estimate!!ALL INDIVIDUALS WITH INCOME BELOW THE FOLLOWING POVERTY RATIOS!!150 percent of poverty level"
"S1701_C02_040M","Below poverty level!!Margin of Error!!ALL INDIVIDUALS WITH INCOME BELOW THE FOLLOWING POVERTY RATIOS!!150 percent of poverty level"
"S1701_C02_041E","Below poverty level!!Estimate!!ALL INDIVIDUALS WITH INCOME BELOW THE FOLLOWING POVERTY RATIOS!!185 percent of poverty level"
"S1701_C02_041M","Below poverty level!!Margin of Error!!ALL INDIVIDUALS WITH INCOME BELOW THE FOLLOWING POVERTY RATIOS!!185 percent of poverty level"
"S1701_C02_042E","Below poverty level!!Estimate!!ALL INDIVIDUALS WITH INCOME BELOW THE FOLLOWING POVERTY RATIOS!!200 percent of poverty level"
"S1701_C02_042M","Below poverty level!!Margin of Error!!ALL INDIVIDUALS WITH INCOME BELOW THE FOLLOWING POVERTY RATIOS!!200 percent of poverty level"
"S1701_C02_043E","Below poverty level!!Estimate!!ALL INDIVIDUALS WITH INCOME BELOW THE FOLLOWING POVERTY RATIOS!!300 percent of poverty level"
"S1701_C02_043M","Below poverty level!!Margin of Error!!ALL INDIVIDUALS WITH INCOME BELOW THE FOLLOWING POVERTY RATIOS!!300 percent of poverty level"
"S1701_C02_044E","Below poverty level!!Estimate!!ALL INDIVIDUALS WITH INCOME BELOW THE FOLLOWING POVERTY RATIOS!!400 percent of poverty level"
"S1701_C02_044M","Below poverty level!!Margin of Error!!ALL INDIVIDUALS WITH INCOME BELOW THE FOLLOWING POVERTY RATIOS!!400 percent of poverty level"
"S1701_C02_045E","Below poverty level!!Estimate!!ALL INDIVIDUALS WITH INCOME BELOW THE FOLLOWING POVERTY RATIOS!!500 percent of poverty level"
"S1701_C02_045M","Below poverty level!!Margin of Error!!ALL INDIVIDUALS WITH INCOME BELOW THE FOLLOWING POVERTY RATIOS!!500 percent of poverty level"
"S1701_C02_046E","Below poverty level!!Estimate!!UNRELATED INDIVIDUALS FOR WHOM POVERTY STATUS IS DETERMINED"
"S1701_C02_046M","Below poverty level!!Margin of Error!!UNRELATED INDIVIDUALS FOR WHOM POVERTY STATUS IS DETERMINED"
"S1701_C02_047E","Below poverty level!!Estimate!!UNRELATED INDIVIDUALS FOR WHOM POVERTY STATUS IS DETERMINED!!Male"
"S1701_C02_047M","Below poverty level!!Margin of Error!!UNRELATED INDIVIDUALS FOR WHOM POVERTY STATUS IS DETERMINED!!Male"
"S1701_C02_048E","Below poverty level!!Estimate!!UNRELATED INDIVIDUALS FOR WHOM POVERTY STATUS IS DETERMINED!!Female"
"S1701_C02_048M","Below poverty level!!Margin of Error!!UNRELATED INDIVIDUALS FOR WHOM POVERTY STATUS IS DETERMINED!!Female"
"S1701_C02_049E","Below poverty level!!Estimate!!15 years"
"S1701_C02_049M","Below poverty level!!Margin of Error!!15 years"
"S1701_C02_050E","Below poverty level!!Estimate!!16 to 17 years"
"S1701_C02_050M","Below poverty level!!Margin of Error!!16 to 17 years"
"S1701_C02_051E","Below poverty level!!Estimate!!18 to 24 years"
"S1701_C02_051M","Below poverty level!!Margin of Error!!18 to 24 years"
"S1701_C02_052E","Below poverty level!!Estimate!!25 to 34 years"
"S1701_C02_052M","Below poverty level!!Margin of Error!!25 to 34 years"
"S1701_C02_053E","Below poverty level!!Estimate!!35 to 44 years"
"S1701_C02_053M","Below poverty level!!Margin of Error!!35 to 44 years"
"S1701_C02_054E","Below poverty level!!Estimate!!45 to 54 years"
"S1701_C02_054M","Below poverty level!!Margin of Error!!45 to 54 years"
"S1701_C02_055E","Below poverty level!!Estimate!!55 to 64 years"
"S1701_C02_055M","Below poverty level!!Margin of Error!!55 to 64 years"
"S1701_C02_056E","Below poverty level!!Estimate!!65 to 74 years"
"S1701_C02_056M","Below poverty level!!Margin of Error!!65 to 74 years"
"S1701_C02_057E","Below poverty level!!Estimate!!75 years and over"
"S1701_C02_057M","Below poverty level!!Margin of Error!!75 years and over"
"S1701_C02_058E","Below poverty level!!Estimate!!Mean income deficit for unrelated individuals (dollars)"
"S1701_C02_058M","Below poverty level!!Margin of Error!!Mean income deficit for unrelated individuals (dollars)"
"S1701_C02_059E","Below poverty level!!Estimate!!Worked full-time, year-round in the past 12 months"
"S1701_C02_059M","Below poverty level!!Margin of Error!!Worked full-time, year-round in the past 12 months"
"S1701_C02_060E","Below poverty level!!Estimate!!Worked less than full-time, year-round in the past 12 months"
"S1701_C02_060M","Below poverty level!!Margin of Error!!Worked less than full-time, year-round in the past 12 months"
"S1701_C02_061E","Below poverty level!!Estimate!!Did not work"
"S1701_C02_061M","Below poverty level!!Margin of Error!!Did not work"
"S1701_C03_001E","Percent below poverty level!!Estimate!!Population for whom poverty status is determined"
"S1701_C03_001M","Percent below poverty level!!Margin of Error!!Population for whom poverty status is determined"
"S1701_C03_002E","Percent below poverty level!!Estimate!!AGE!!Under 18 years"
"S1701_C03_002M","Percent below poverty level!!Margin of Error!!AGE!!Under 18 years"
"S1701_C03_003E","Percent below poverty level!!Estimate!!AGE!!Under 18 years!!Under 5 years"
"S1701_C03_003M","Percent below poverty level!!Margin of Error!!AGE!!Under 18 years!!Under 5 years"
"S1701_C03_004E","Percent below poverty level!!Estimate!!AGE!!Under 18 years!!5 to 17 years"
"S1701_C03_004M","Percent below poverty level!!Margin of Error!!AGE!!Under 18 years!!5 to 17 years"
"S1701_C03_005E","Percent below poverty level!!Estimate!!AGE!!Under 18 years!!Related children of householder under 18 years"
"S1701_C03_005M","Percent below poverty level!!Margin of Error!!AGE!!Under 18 years!!Related children of householder under 18 years"
"S1701_C03_006E","Percent below poverty level!!Estimate!!AGE!!18 to 64 years"
"S1701_C03_006M","Percent below poverty level!!Margin of Error!!AGE!!18 to 64 years"
"S1701_C03_007E","Percent below poverty level!!Estimate!!AGE!!18 to 64 years!!18 to 34 years"
"S1701_C03_007M","Percent below poverty level!!Margin of Error!!AGE!!18 to 64 years!!18 to 34 years"
"S1701_C03_008E","Percent below poverty level!!Estimate!!AGE!!18 to 64 years!!35 to 64 years"
"S1701_C03_008M","Percent below poverty level!!Margin of Error!!AGE!!18 to 64 years!!35 to 64 years"
"S1701_C03_009E","Percent below poverty level!!Estimate!!AGE!!60 years and over"
"S1701_C03_009M","Percent below poverty level!!Margin of Error!!AGE!!60 years and over"
"S1701_C03_010E","Percent below poverty level!!Estimate!!AGE!!65 years and over"
"S1701_C03_010M","Percent below poverty level!!Margin of Error!!AGE!!65 years and over"
"S1701_C03_011E","Percent below poverty level!!Estimate!!SEX!!Male"
"S1701_C03_011M","Percent below poverty level!!Margin of Error!!SEX!!Male"
"S1701_C03_012E","Percent below poverty level!!Estimate!!SEX!!Female"
"S1701_C03_012M","Percent below poverty level!!Margin of Error!!SEX!!Female"
"S1701_C03_013E","Percent below poverty level!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone"
"S1701_C03_013M","Percent below poverty level!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone"
"S1701_C03_014E","Percent below poverty level!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Black or African American alone"
"S1701_C03_014M","Percent below poverty level!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!Black or African American alone"
"S1701_C03_015E","Percent below poverty level!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!American Indian and Alaska Native alone"
"S1701_C03_015M","Percent below poverty level!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!American Indian and Alaska Native alone"
"S1701_C03_016E","Percent below poverty level!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Asian alone"
"S1701_C03_016M","Percent below poverty level!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!Asian alone"
"S1701_C03_017E","Percent below poverty level!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone"
"S1701_C03_017M","Percent below poverty level!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone"
"S1701_C03_018E","Percent below poverty level!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Some other race alone"
"S1701_C03_018M","Percent below poverty level!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!Some other race alone"
"S1701_C03_019E","Percent below poverty level!!Estimate!!RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races"
"S1701_C03_019M","Percent below poverty level!!Margin of Error!!RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races"
"S1701_C03_020E","Percent below poverty level!!Estimate!!Hispanic or Latino origin (of any race)"
"S1701_C03_020M","Percent below poverty level!!Margin of Error!!Hispanic or Latino origin (of any race)"
"S1701_C03_021E","Percent below poverty level!!Estimate!!White alone, not Hispanic or Latino"
"S1701_C03_021M","Percent below poverty level!!Margin of Error!!White alone, not Hispanic or Latino"
"S1701_C03_022E","Percent below poverty level!!Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over"
"S1701_C03_022M","Percent below poverty level!!Margin of Error!!EDUCATIONAL ATTAINMENT!!Population 25 years and over"
"S1701_C03_023E","Percent below poverty level!!Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Less than high school graduate"
"S1701_C03_023M","Percent below poverty level!!Margin of Error!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Less than high school graduate"
"S1701_C03_024E","Percent below poverty level!!Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!High school graduate (includes equivalency)"
"S1701_C03_024M","Percent below poverty level!!Margin of Error!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!High school graduate (includes equivalency)"
"S1701_C03_025E","Percent below poverty level!!Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Some college, associate's degree"
"S1701_C03_025M","Percent below poverty level!!Margin of Error!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Some college, associate's degree"
"S1701_C03_026E","Percent below poverty level!!Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree or higher"
"S1701_C03_026M","Percent below poverty level!!Margin of Error!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree or higher"
"S1701_C03_027E","Percent below poverty level!!Estimate!!EMPLOYMENT STATUS!!Civilian labor force 16 years and over"
"S1701_C03_027M","Percent below poverty level!!Margin of Error!!EMPLOYMENT STATUS!!Civilian labor force 16 years and over"
"S1701_C03_028E","Percent below poverty level!!Estimate!!EMPLOYMENT STATUS!!Civilian labor force 16 years and over!!Employed"
"S1701_C03_028M","Percent below poverty level!!Margin of Error!!EMPLOYMENT STATUS!!Civilian labor force 16 years and over!!Employed"
"S1701_C03_029E","Percent below poverty level!!Estimate!!EMPLOYMENT STATUS!!Civilian labor force 16 years and over!!Employed!!Male"
"S1701_C03_029M","Percent below poverty level!!Margin of Error!!EMPLOYMENT STATUS!!Civilian labor force 16 years and over!!Employed!!Male"
"S1701_C03_030E","Percent below poverty level!!Estimate!!EMPLOYMENT STATUS!!Civilian labor force 16 years and over!!Employed!!Female"
"S1701_C03_030M","Percent below poverty level!!Margin of Error!!EMPLOYMENT STATUS!!Civilian labor force 16 years and over!!Employed!!Female"
"S1701_C03_031E","Percent below poverty level!!Estimate!!EMPLOYMENT STATUS!!Civilian labor force 16 years and over!!Unemployed"
"S1701_C03_031M","Percent below poverty level!!Margin of Error!!EMPLOYMENT STATUS!!Civilian labor force 16 years and over!!Unemployed"
"S1701_C03_032E","Percent below poverty level!!Estimate!!EMPLOYMENT STATUS!!Civilian labor force 16 years and over!!Unemployed!!Male"
"S1701_C03_032M","Percent below poverty level!!Margin of Error!!EMPLOYMENT STATUS!!Civilian labor force 16 years and over!!Unemployed!!Male"
"S1701_C03_033E","Percent below poverty level!!Estimate!!EMPLOYMENT STATUS!!Civilian labor force 16 years and over!!Unemployed!!Female"
"S1701_C03_033M","Percent below poverty level!!Margin of Error!!EMPLOYMENT STATUS!!Civilian labor force 16 years and over!!Unemployed!!Female"
"S1701_C03_034E","Percent below poverty level!!Estimate!!WORK EXPERIENCE!!Population 16 years and over"
"S1701_C03_034M","Percent below poverty level!!Margin of Error!!WORK EXPERIENCE!!Population 16 years and over"
"S1701_C03_035E","Percent below poverty level!!Estimate!!WORK EXPERIENCE!!Population 16 years and over!!Worked full-time, year-round in the past 12 months"
"S1701_C03_035M","Percent below poverty level!!Margin of Error!!WORK EXPERIENCE!!Population 16 years and over!!Worked full-time, year-round in the past 12 months"
"S1701_C03_036E","Percent below poverty level!!Estimate!!WORK EXPERIENCE!!Population 16 years and over!!Worked part-time or part-year in the past 12 months"
"S1701_C03_036M","Percent below poverty level!!Margin of Error!!WORK EXPERIENCE!!Population 16 years and over!!Worked part-time or part-year in the past 12 months"
"S1701_C03_037E","Percent below poverty level!!Estimate!!WORK EXPERIENCE!!Population 16 years and over!!Did not work"
"S1701_C03_037M","Percent below poverty level!!Margin of Error!!WORK EXPERIENCE!!Population 16 years and over!!Did not work"
"S1701_C03_038E","Percent below poverty level!!Estimate!!ALL INDIVIDUALS WITH INCOME BELOW THE FOLLOWING POVERTY RATIOS!!50 percent of poverty level"
"S1701_C03_038M","Percent below poverty level!!Margin of Error!!ALL INDIVIDUALS WITH INCOME BELOW THE FOLLOWING POVERTY RATIOS!!50 percent of poverty level"
"S1701_C03_039E","Percent below poverty level!!Estimate!!ALL INDIVIDUALS WITH INCOME BELOW THE FOLLOWING POVERTY RATIOS!!125 percent of poverty level"
"S1701_C03_039M","Percent below poverty level!!Margin of Error!!ALL INDIVIDUALS WITH INCOME BELOW THE FOLLOWING POVERTY RATIOS!!125 percent of poverty level"
"S1701_C03_040E","Percent below poverty level!!Estimate!!ALL INDIVIDUALS WITH INCOME BELOW THE FOLLOWING POVERTY RATIOS!!150 percent of poverty level"
"S1701_C03_040M","Percent below poverty level!!Margin of Error!!ALL INDIVIDUALS WITH INCOME BELOW THE FOLLOWING POVERTY RATIOS!!150 percent of poverty level"
"S1701_C03_041E","Percent below poverty level!!Estimate!!ALL INDIVIDUALS WITH INCOME BELOW THE FOLLOWING POVERTY RATIOS!!185 percent of poverty level"
"S1701_C03_041M","Percent below poverty level!!Margin of Error!!ALL INDIVIDUALS WITH INCOME BELOW THE FOLLOWING POVERTY RATIOS!!185 percent of poverty level"
"S1701_C03_042E","Percent below poverty level!!Estimate!!ALL INDIVIDUALS WITH INCOME BELOW THE FOLLOWING POVERTY RATIOS!!200 percent of poverty level"
"S1701_C03_042M","Percent below poverty level!!Margin of Error!!ALL INDIVIDUALS WITH INCOME BELOW THE FOLLOWING POVERTY RATIOS!!200 percent of poverty level"
"S1701_C03_043E","Percent below poverty level!!Estimate!!ALL INDIVIDUALS WITH INCOME BELOW THE FOLLOWING POVERTY RATIOS!!300 percent of poverty level"
"S1701_C03_043M","Percent below poverty level!!Margin of Error!!ALL INDIVIDUALS WITH INCOME BELOW THE FOLLOWING POVERTY RATIOS!!300 percent of poverty level"
"S1701_C03_044E","Percent below poverty level!!Estimate!!ALL INDIVIDUALS WITH INCOME BELOW THE FOLLOWING POVERTY RATIOS!!400 percent of poverty level"
"S1701_C03_044M","Percent below poverty level!!Margin of Error!!ALL INDIVIDUALS WITH INCOME BELOW THE FOLLOWING POVERTY RATIOS!!400 percent of poverty level"
"S1701_C03_045E","Percent below poverty level!!Estimate!!ALL INDIVIDUALS WITH INCOME BELOW THE FOLLOWING POVERTY RATIOS!!500 percent of poverty level"
"S1701_C03_045M","Percent below poverty level!!Margin of Error!!ALL INDIVIDUALS WITH INCOME BELOW THE FOLLOWING POVERTY RATIOS!!500 percent of poverty level"
"S1701_C03_046E","Percent below poverty level!!Estimate!!UNRELATED INDIVIDUALS FOR WHOM POVERTY STATUS IS DETERMINED"
"S1701_C03_046M","Percent below poverty level!!Margin of Error!!UNRELATED INDIVIDUALS FOR WHOM POVERTY STATUS IS DETERMINED"
"S1701_C03_047E","Percent below poverty level!!Estimate!!UNRELATED INDIVIDUALS FOR WHOM POVERTY STATUS IS DETERMINED!!Male"
"S1701_C03_047M","Percent below poverty level!!Margin of Error!!UNRELATED INDIVIDUALS FOR WHOM POVERTY STATUS IS DETERMINED!!Male"
"S1701_C03_048E","Percent below poverty level!!Estimate!!UNRELATED INDIVIDUALS FOR WHOM POVERTY STATUS IS DETERMINED!!Female"
"S1701_C03_048M","Percent below poverty level!!Margin of Error!!UNRELATED INDIVIDUALS FOR WHOM POVERTY STATUS IS DETERMINED!!Female"
"S1701_C03_049E","Percent below poverty level!!Estimate!!15 years"
"S1701_C03_049M","Percent below poverty level!!Margin of Error!!15 years"
"S1701_C03_050E","Percent below poverty level!!Estimate!!16 to 17 years"
"S1701_C03_050M","Percent below poverty level!!Margin of Error!!16 to 17 years"
"S1701_C03_051E","Percent below poverty level!!Estimate!!18 to 24 years"
"S1701_C03_051M","Percent below poverty level!!Margin of Error!!18 to 24 years"
"S1701_C03_052E","Percent below poverty level!!Estimate!!25 to 34 years"
"S1701_C03_052M","Percent below poverty level!!Margin of Error!!25 to 34 years"
"S1701_C03_053E","Percent below poverty level!!Estimate!!35 to 44 years"
"S1701_C03_053M","Percent below poverty level!!Margin of Error!!35 to 44 years"
"S1701_C03_054E","Percent below poverty level!!Estimate!!45 to 54 years"
"S1701_C03_054M","Percent below poverty level!!Margin of Error!!45 to 54 years"
"S1701_C03_055E","Percent below poverty level!!Estimate!!55 to 64 years"
"S1701_C03_055M","Percent below poverty level!!Margin of Error!!55 to 64 years"
"S1701_C03_056E","Percent below poverty level!!Estimate!!65 to 74 years"
"S1701_C03_056M","Percent below poverty level!!Margin of Error!!65 to 74 years"
"S1701_C03_057E","Percent below poverty level!!Estimate!!75 years and over"
"S1701_C03_057M","Percent below poverty level!!Margin of Error!!75 years and over"
"S1701_C03_058E","Percent below poverty level!!Estimate!!Mean income deficit for unrelated individuals (dollars)"
"S1701_C03_058M","Percent below poverty level!!Margin of Error!!Mean income deficit for unrelated individuals (dollars)"
"S1701_C03_059E","Percent below poverty level!!Estimate!!Worked full-time, year-round in the past 12 months"
"S1701_C03_059M","Percent below poverty level!!Margin of Error!!Worked full-time, year-round in the past 12 months"
"S1701_C03_060E","Percent below poverty level!!Estimate!!Worked less than full-time, year-round in the past 12 months"
"S1701_C03_060M","Percent below poverty level!!Margin of Error!!Worked less than full-time, year-round in the past 12 months"
"S1701_C03_061E","Percent below poverty level!!Estimate!!Did not work"
"S1701_C03_061M","Percent below poverty level!!Margin of Error!!Did not work"
